rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,train/n_updates,train/ent_coef
236.38,89571,356158,-20.17562484741211,2.3160560131073,-0.6520058512687683,38.030048990000004,1600,0.0003,3,356057,0.0477440282702446
237.61,90039,358119,-19.64598274230957,50.18211364746094,-0.664150595664978,39.02683374,1610,0.0003,3,358018,0.04851306974887848
239.32,90537,360182,-18.598373413085938,2.7223398685455322,-0.9891120195388794,39.11264754,1620,0.0003,3,360081,0.04823921248316765
238.64,91141,363279,-19.668315887451172,1.9848442077636719,-0.4728078246116638,40.28972650000001,1630,0.0003,3,363178,0.04593474417924881
235.64,91598,365119,-20.391399383544922,6.53303861618042,-0.08651763945817947,37.87140215,1640,0.0003,3,365018,0.04803463816642761
232.77,92103,367265,-18.607437133789062,2.980767011642456,0.43000102043151855,39.695670639999996,1650,0.0003,3,367164,0.0509398877620697
220.23,92516,368756,-18.963205337524414,1.7920074462890625,0.020314693450927734,32.70980944,1660,0.0003,3,368655,0.055112190544605255
220.42,93065,371388,-18.02416229248047,5.943950176239014,0.510661780834198,30.66136904,1670,0.0003,3,371287,0.054572831839323044
220.16,93555,373480,-19.33916473388672,4.065829277038574,-0.23825962841510773,29.179805069999997,1680,0.0003,3,373379,0.05310790240764618
218.78,94020,375238,-19.505908966064453,2.79079270362854,-0.21925485134124756,30.243725989999994,1690,0.0003,3,375137,0.053802426904439926
212.85,94533,377443,-19.990127563476562,8.271714210510254,-0.1956360787153244,27.390148659999994,1700,0.0003,3,377342,0.05471399426460266
214.94,95027,379613,-20.05177879333496,3.2116615772247314,0.413743257522583,23.414533339999995,1710,0.0003,3,379512,0.05406571179628372
216.02,95542,381784,-19.8687744140625,9.888479232788086,-0.26984649896621704,25.638183599999998,1720,0.0003,3,381683,0.05525913089513779
204.26,96011,383705,-18.878803253173828,2.426348924636841,0.07806268334388733,21.49300391,1730,0.0003,3,383604,0.05754294991493225
202.35,96463,385354,-19.704471588134766,4.977648735046387,0.12302906811237335,21.15800109,1740,0.0003,3,385253,0.05892268568277359
198.91,96934,387156,-20.034130096435547,57.431304931640625,-0.13692793250083923,18.907091060000003,1750,0.0003,3,387055,0.06051214784383774
204.82,97432,389238,-21.006284713745117,10.018156051635742,-0.09265989065170288,23.108880339999995,1760,0.0003,3,389137,0.05503927171230316
202.33,97981,391621,-20.623119354248047,4.758363723754883,-0.15912042558193207,21.74018421,1770,0.0003,3,391520,0.056754980236291885
202.25,98475,393705,-20.469518661499023,3.0898971557617188,0.2917528748512268,20.84507506,1780,0.0003,3,393604,0.058067139238119125
200.88,98917,395326,-20.29674530029297,1.3459722995758057,-0.2743086814880371,19.581850890000002,1790,0.0003,3,395225,0.05644696205854416
199.27,99430,397370,-20.702821731567383,4.23734188079834,0.29735422134399414,19.977472239999997,1800,0.0003,3,397269,0.05651566758751869
191.34,99860,398747,-20.756446838378906,2.0839548110961914,-0.46191978454589844,20.29809668,1810,0.0003,3,398646,0.05913457274436951
187.44,100314,400528,-20.74867057800293,1.9546500444412231,1.082934856414795,15.731297840000002,1820,0.0003,3,400427,0.06349511444568634
185.28,100777,402233,-19.48949432373047,7.11738395690918,-0.002822279930114746,17.84086078,1830,0.0003,3,402132,0.05952305346727371
190.0,101272,404354,-20.298839569091797,2.4607181549072266,-0.5846039056777954,14.7388095,1840,0.0003,3,404253,0.05811597406864166
192.87,101788,406443,-19.26364517211914,2.2597296237945557,-0.8693660497665405,12.680698979999999,1850,0.0003,3,406342,0.061362769454717636
188.4,102247,408078,-18.430395126342773,14.73198127746582,-0.07128985971212387,10.94048426,1860,0.0003,3,407977,0.05977082625031471
182.23,102698,409844,-19.130870819091797,11.049949645996094,-0.34450531005859375,11.26991252,1870,0.0003,3,409743,0.05859579145908356
182.6,103214,411965,-18.342708587646484,1.7940019369125366,-0.22667646408081055,11.646759379999999,1880,0.0003,3,411864,0.05548050254583359
185.89,103708,413915,-19.330337524414062,6.124272346496582,-0.16362076997756958,11.053787489999998,1890,0.0003,3,413814,0.05279405787587166
179.02,104107,415272,-17.884021759033203,2.2550182342529297,0.41274553537368774,7.24701936,1900,0.0003,3,415171,0.05425465106964111
183.52,104574,417099,-16.976886749267578,3.0368990898132324,0.059564992785453796,9.524609349999999,1910,0.0003,3,416998,0.0535469613969326
182.88,105031,418816,-17.281166076660156,57.32140350341797,0.10567884892225266,10.827037259999999,1920,0.0003,3,418715,0.05826791003346443
195.38,105620,421771,-16.29395866394043,3.2640292644500732,0.08076155185699463,12.437718759999997,1930,0.0003,3,421670,0.05704791843891144
199.46,106181,424300,-17.298480987548828,5.923400402069092,-0.5305745601654053,14.78206447,1940,0.0003,3,424199,0.054131414741277695
204.88,106736,426931,-17.184133529663086,6.132678985595703,-0.14448773860931396,19.13301496,1950,0.0003,3,426830,0.05456874519586563
202.72,107139,428350,-17.095417022705078,7.51171875,-0.23877936601638794,19.805116119999997,1960,0.0003,3,428249,0.056648626923561096
204.65,107610,430309,-16.27193832397461,14.449501037597656,-0.7163830995559692,18.92981095,1970,0.0003,3,430208,0.055593766272068024
203.0,108115,432265,-17.255290985107422,9.098566055297852,-0.36352014541625977,16.92810222,1980,0.0003,3,432164,0.0562678687274456
208.9,108649,434805,-16.165788650512695,5.073442459106445,0.4099907875061035,19.630373340000002,1990,0.0003,4,434704,0.055706530809402466
213.41,109107,436613,-17.161359786987305,6.913844108581543,0.7579215168952942,21.288640659999995,2000,0.0003,4,436512,0.051095496863126755
211.27,109536,438226,-16.677515029907227,31.284881591796875,0.3514583706855774,22.8722527,2010,0.0003,4,438125,0.051847562193870544
214.75,110024,440291,-16.349668502807617,9.84251880645752,0.44894474744796753,26.397554240000005,2020,0.0003,4,440190,0.05182572454214096
201.84,110454,441955,-15.674168586730957,3.5428755283355713,0.13404372334480286,26.51803101,2030,0.0003,4,441854,0.05002744868397713
201.63,111004,444463,-15.52881145477295,98.73860168457031,-0.22339895367622375,26.772907979999996,2040,0.0003,4,444362,0.04835252836346626
193.52,111479,446283,-15.824274063110352,7.901472091674805,0.49185964465141296,24.416000330000003,2050,0.0003,4,446182,0.04774928465485573
195.36,111903,447886,-15.702516555786133,2.576612949371338,0.5197610855102539,24.448498820000005,2060,0.0003,4,447785,0.048572950065135956
199.12,112429,450221,-14.83646011352539,2.6951608657836914,-0.25174015760421753,25.60928416,2070,0.0003,4,450120,0.0533873587846756
200.02,112924,452267,-15.477140426635742,9.943264961242676,0.07415690273046494,24.47542288,2080,0.0003,4,452166,0.053150370717048645
196.17,113428,454422,-14.471611022949219,11.38776683807373,-0.4182894825935364,22.707860839999995,2090,0.0003,4,454321,0.0518011674284935
204.16,113980,457029,-15.413423538208008,8.974266052246094,0.15190906822681427,25.604653260000006,2100,0.0003,4,456928,0.05136954039335251
210.93,114513,459319,-15.097419738769531,9.525222778320312,0.5514169931411743,21.478235430000005,2110,0.0003,4,459218,0.045752108097076416
214.18,115058,461709,-15.5442533493042,13.608137130737305,-0.12877286970615387,20.930229020000002,2120,0.0003,4,461608,0.04852941632270813
219.26,115575,463881,-14.169556617736816,4.55830192565918,0.2828746438026428,20.290086379999998,2130,0.0003,4,463780,0.04829602688550949
219.34,116121,466397,-15.744905471801758,5.293135166168213,-0.004768460988998413,20.535941219999998,2140,0.0003,4,466296,0.04696264490485191
219.5,116589,468233,-15.64218807220459,2.1283786296844482,0.27988201379776,22.346259560000004,2150,0.0003,4,468132,0.045646049082279205
218.22,117019,469708,-16.233280181884766,2.612252950668335,0.012130647897720337,21.20903199,2160,0.0003,4,469607,0.0452125146985054
220.53,117572,472274,-15.510676383972168,5.974959373474121,0.21621912717819214,24.384492319999996,2170,0.0003,4,472173,0.04900702089071274
234.88,118267,475755,-15.986527442932129,1.9457390308380127,0.40897107124328613,26.035135429999997,2180,0.0003,4,475654,0.05031999945640564
238.15,118824,478237,-16.363922119140625,3.5408878326416016,0.5142499208450317,23.007316760000002,2190,0.0003,4,478136,0.05184008553624153
234.2,119340,480449,-16.825267791748047,86.31533813476562,0.20203714072704315,19.910899239999996,2200,0.0003,4,480348,0.04853472858667374
246.1,120030,483929,-16.915393829345703,13.94124698638916,0.46493133902549744,21.695039399999995,2210,0.0003,4,483828,0.0489310622215271
246.25,120579,486334,-16.633785247802734,2.33050537109375,0.3923587501049042,19.537997779999998,2220,0.0003,4,486233,0.05039193481206894
256.55,121239,489536,-18.084157943725586,11.043397903442383,0.016083598136901855,16.143772309999996,2230,0.0003,4,489435,0.05924145504832268
263.81,121885,492778,-19.976577758789062,4.239664077758789,-0.7221807241439819,12.365192009999998,2240,0.0003,4,492677,0.06618481874465942
273.75,122482,495608,-21.482276916503906,3.536099910736084,-0.03382235765457153,7.816646689999998,2250,0.0003,4,495507,0.06899445503950119
287.88,123096,498496,-22.51051139831543,4.523453712463379,0.24614645540714264,4.618198609999999,2260,0.0003,4,498395,0.06430715322494507
285.15,123626,500789,-21.10962677001953,21.8765869140625,0.25577646493911743,-1.3570014200000005,2270,0.0003,4,500688,0.05725075677037239
271.76,124150,502931,-21.085723876953125,10.562122344970703,-0.4358041286468506,-2.7412734500000004,2280,0.0003,4,502830,0.062254954129457474
265.85,124614,504822,-22.06452751159668,1.762929916381836,0.14474566280841827,-1.4638562300000002,2290,0.0003,4,504721,0.0586407408118248
274.14,125239,507863,-19.472484588623047,16.55517578125,0.3080061674118042,2.5511552900000005,2300,0.0003,4,507762,0.051423393189907074
257.07,125723,509636,-19.763336181640625,1.9036264419555664,-0.47934362292289734,2.16426079,2310,0.0003,4,509535,0.05126737430691719
253.08,126226,511642,-20.280912399291992,12.192875862121582,0.11358917504549026,3.2483711099999995,2320,0.0003,4,511541,0.05365996062755585
251.51,126863,514687,-18.011646270751953,7.945657730102539,0.4422677159309387,6.2876203099999985,2330,0.0003,4,514586,0.05562734976410866
240.32,127386,516810,-18.010406494140625,61.884422302246094,-0.45073366165161133,7.5905239799999995,2340,0.0003,4,516709,0.05396043509244919
236.54,127937,519262,-17.90273666381836,5.976475238800049,-0.2553640604019165,10.790743910000002,2350,0.0003,4,519161,0.05347295105457306
